Date,Open,High,Low,Close,Adj Close,Volume
2021-12-23,3312.500000,3337.500000,3312.500000,3325.000000,2939.536865,20865200
2021-12-24,3325.000000,3362.500000,3287.500000,3362.500000,2972.689453,27466400
2021-12-27,3362.500000,3375.000000,3337.500000,3375.000000,2983.740234,21300600
2021-12-28,3375.000000,3387.500000,3350.000000,3350.000000,2961.638672,29432600
2021-12-29,3350.000000,3375.000000,3337.500000,3362.500000,2972.689453,16851800
2021-12-30,3362.500000,3387.500000,3337.500000,3375.000000,2983.740234,23619400
2022-01-03,3375.000000,3400.000000,3350.000000,3362.500000,2972.689453,23056600
2022-01-04,3400.000000,3525.000000,3387.500000,3512.500000,3105.300049,103142000
2022-01-05,3512.500000,3525.000000,3425.000000,3475.000000,3072.147461,71824800
2022-01-06,3475.000000,3500.000000,3412.500000,3475.000000,3072.147461,44384800
2022-01-07,3500.000000,3550.000000,3462.500000,3537.500000,3127.402100,67311600
2022-01-10,3537.500000,3587.500000,3512.500000,3525.000000,3116.351074,63924600
2022-01-11,3525.000000,3562.500000,3487.500000,3512.500000,3105.300049,38404400
2022-01-12,3525.000000,3550.000000,3487.500000,3525.000000,3116.351074,28322200
2022-01-13,3525.000000,3537.500000,3500.000000,3512.500000,3105.300049,25598400
2022-01-14,3512.500000,3575.000000,3487.500000,3550.000000,3138.452637,39342200
2022-01-17,3562.500000,3600.000000,3525.000000,3600.000000,3182.656494,92592800
2022-01-18,3600.000000,3625.000000,3462.500000,3537.500000,3127.402100,70206600
2022-01-19,3512.500000,3550.000000,3475.000000,3550.000000,3138.452637,44159000
2022-01-20,3550.000000,3575.000000,3487.500000,3575.000000,3160.554688,33241200
2022-01-21,3562.500000,3587.500000,3525.000000,3587.500000,3171.605469,21681400
2022-01-24,3562.500000,3562.500000,3512.500000,3550.000000,3138.452637,40845000
2022-01-25,3550.000000,3550.000000,3387.500000,3400.000000,3005.842041,144670400
2022-01-26,3437.500000,3562.500000,3425.000000,3562.500000,3149.503662,107417000
2022-01-27,3550.000000,3650.000000,3525.000000,3600.000000,3182.656494,97516000
